詳細,発句（俳句）,読み,季題１,出典
7781,くりばゝがいとしがりけり誕生仏,くりばばが　いとしがりけり　たんじょうぶつ,3夏,八番日記
7782,拵た子も参也花御堂,こしらえた　こもまいるなり　はなみどう,3夏,八番日記
7783,拵た子も見に来たり花御堂,こしらえた　こもみにきたり　はなみどう,3夏,発句集続篇
7784,白妙の花の卯月の八日哉,しろたえの　はなのうづきの　ようかかな,3夏,八番日記
7785,相応なつり鐘草や花御堂,そうおうな　つりがねそうや　はなみどう,3夏,八番日記
7786,たん生仏風など引せ給ふなよ,たんじょうぶつ　かぜなどひかせ　たまうなよ,3夏,八番日記
7787,たん生仏風ばしひかせ給ふなよ,たんじょうぶつ　かぜばしひかせ　たまうなよ,3夏,梅塵八番
7788,出入の人のあらしや花御堂,ではいりの　ひとのあらしや　はなみどう,3夏,八番日記
7789,浜風に色の黒さよたん生仏,はまかぜに　いろのくろさよ　たんじょうぶつ,3夏,八番日記
7790,むだにして蜘が下るや御花堂,むだにして　くもがさがるや　みはなどう,3夏,八番日記
7791,むだにして蜘が下るや花御堂,むだにして　くもがさがるや　はなみどう,3夏,梅塵八番
7792,山寺や蝶が受取甘茶水,やまでらや　ちょうがうけとる　あまちゃみず,3夏,八番日記
7793,天人の気どりの蝶や花御堂,てんにんの　きどりのちょうや　はなみどう,3夏,文政句帖
7794,灯ろ花丁ど咲くや仏生会,とうろばな　ちょうどさくや　ぶっしょうえ,3夏,文政句帖
7795,とし～゛に生れ給へる仏かな,としどしに　うまれたまえる　ほとけかな,3夏,文政句帖
7796,二三文銭もけしきや花御堂,にさんもん　ぜにもけしきや　はなみどう,3夏,文政句帖
7797,灌仏は指切をする手つき哉,かんぶつは　ゆびきりをする　てつきかな,3夏,文政句帖
7798,御仏や生るゝまねに銭が降,みほとけや　うまるるまねに　ぜにがふる,3夏,文政句帖
7799,御仏や生るゝまねも鉦太鼓,みほとけや　うまるるまねも　かねたいこ,3夏,文政句帖
7800,灌仏や生るゝまねの鉦太鼓,かんぶつや　うまるるまねの　かねたいこ,3夏,文政句帖
7801,御仏や銭の中より御誕生,みほとけや　ぜにのなかより　おたんじょう,3夏,文政句帖
7802,古鍋のつる～出る月夜哉,ふるなべの　つるつるいでる　つきよかな,3夏,七番日記
7803,今一度婆ゝもかぶれよつくま鍋,いまいちど　ばばもかぶれよ　つくまなべ,3夏,七番日記
7804,今一度婆ゝもかぶらばつくま鍋,いまいちど　ばばもかぶらば　つくまなべ,3夏,八番日記
7805,今一度婆ゝもかぶらば筑波なべ,いまいちど　ばばもかぶらば　つくばなべ,3夏,梅塵八番
7806,土鍋もけふの祭りに逢ひにけり,つちなべも　きょうのまつりに　あいにけり,3夏,七番日記
7807,鍋までもけふの祭りに逢ひにけり,なべまでも　きょうのまつりに　あいにけり,3夏,発句集続篇
7808,小わらはもかぶりたがるやつくま鍋,こわらはも　かぶりたがるや　つくまなべ,3夏,八番日記
7809,小わらはもかぶりたがるやつくば鍋,こわらはも　かぶりたがるや　つくばなべ,3夏,梅塵八番
7810,月がさす松も持けり夏念仏,つきがさす　まつももちけり　げねんぶつ,3夏,文化句帖
7811,夏籠のけしきに植し小松哉,げごもりの　けしきにうえし　こまつかな,3夏,文化六句日記
7812,夏籠のけしきに植る小松哉,げごもりの　けしきにうえる　こまつかな,3夏,書簡
7813,てゝつぽう声が高いぞ夏の始,ててっぽう　こえがたかいぞ　げのはじめ,3夏,七番日記
7814,朝顔にはげまされたる夏書哉,あさがおに　はげまされたる　げがきかな,3夏,発句題叢
7815,上むき(の)夏書と見ゆる簾かな,うわむきの　げがきとみゆる　すだれかな,3夏,八番日記
7816,上むきの夏書と見ゆる簾かな,うわむきの　げがきとみゆる　すだれかな,3夏,梅塵八番
7817,夏籠もものしりがまし恥かしき,げごもりも　ものしりがまし　はづかしき,3夏,八番日記
7818,夏籠や隙にこまりし窓簾,げごもりや　ひまにこまりし　まどすだれ,3夏,八番日記
7819,夏籠や隙にこまりて窓簾,げごもりや　ひまにこまりて　まどすだれ,3夏,梅塵八番
7820,ものしりの真似して籠る夏心,ものしりの　まねしてこもる　なつごころ,3夏,八番日記
7821,ゆきゝの人を深山木夏書哉,ゆききの　ひとをみやまぎ　げがきかな,3夏,八番日記
7822,往来の人を深山木の夏書哉,ゆききの　ひとをみやまぎの　げがきかな,3夏,梅塵八番
7823,菊畠の木札もちよいと夏書哉,きくばたの　きふだもちよいと　げがきかな,3夏,文政句帖
7824,夏籠りと人には見せて寝坊哉,げごもりと　ひとにはみせて　ねぼうかな,3夏,文政句帖
7825,墨のする<の>童も連て夏断哉,すみのする　わらべもつれて　げだちかな,3夏,文政句帖
7826,雪隠の歌も夏書の一ツ哉,せっちんの　うたもげがきの　ひとつかな　,3夏,文政句帖
7827,猫の子が玉にとる也夏書石,ねこのこが　たまにとるなり　げがきいし,3夏,文政句帖
7828,夏書でもせよと給はる一葉哉,げがきでも　せよとたまはる　ひとはかな,3夏,文政句帖
7829,夏籠や毎晩見廻ふ引がへる,げごもりや　まいばんみまう　ひきがえる,3夏,文政句帖
7830,よそ目には夏書と見ゆる小窓哉,よそめには　げがきとみゆる　こまどかな,3夏,文政句帖
7831,赤有嘉〓の札を夏書哉,あかありき　　か□のふだを　げがきかな,3夏,文政八草稿
7832,夏籠の簾の外(の)市喧嘩,げごもりの　すだれのそとの　いちげんか,3夏,文政八草稿
7833,夏籠や米をねだりニ来る雀,げごもりや　こめをねだりに　くるすずめ,3夏,文政八草稿
7834,中～に篭れば涼し夏百日,なかなかに　こもればすずし　げひゃくにち,3夏,文政八草稿
7835,わたし人待ふりも見へず本花摘,わたしびと　まつふりもみえず　ほんはなつみ,3夏,西紀書込
7836,あさら井の今めかぬ也夏花つみ,あさらいの　いまめかぬなり　げばなつみ,3夏,享和句帖
7837,あさぢふや少おくるゝ夏花持,あさじゅうや　すこしおくるる　げばなもち,3夏,文化句帖
7838,花つみや替～のうちは持,はなつみや　かえかえの　うちわもつ,3夏,文化句帖
7839,わざ～に蝶も来て舞ふ夏花哉,わざわざに　ちょうもきてまう　げばなかな,3夏,文化句帖
7840,合点して蛍も寝るか夏花桶,がてんして　ほたるもねるか　げばなおけ,3夏,七番日記
7841,袖垣も女めきけり夏花つみ,そでがきも　おんなめきけり　げばなつみ,3夏,七番日記
7842,大原や小町が果ての夏花つみ,おおはらや　こまちがはての　げばなつみ,3夏,七番日記
7843,花つむや扇をちよいとぼんの凹,はなつむや　おおぎをちょいと　ぼんのくぼ,3夏,八番日記
7844,夕陰や駕の小脇の夏花持,ゆうかげや　かごのこわきの　げばなもち,3夏,発句題叢
7845,雲霧もそこのけ富士を下る声,くもきりも　そこのけふじを　くだるこえ,3夏,七番日記
7846,かけ声や雲おしのけて不二下る,かけごえや　くもおしのけて　ふじくだる,3夏,八番日記
7847,かけ声や雲おしのけて不二詣,かけごえや　くもおしのけて　ふじもうで,3夏,梅塵八番
7848,神の代や不二の峰(にも)泊り宿,かみのよや　ふじのみねにも　とまりやど,3夏,八番日記
7849,神の代や富士の峯にも泊り宿,かみのよや　ふじのみねにも　とまりやど,3夏,梅塵八番
7850,九合目の不二の初雪喰ひけり,くごうめの　ふじのはつゆき　くらいけり,3夏,八番日記
7851,五合目の不二の初雪喰ひけり,ごごうめの　ふじのはつゆき　くらいけり,3夏,梅塵八番
7852,斯～と虻の案内や不二詣,こうこうと　あぶのあんないや　ふじもうで,3夏,八番日記
7853,腰押してくれる嵐や不二詣,こしおして　くれるあらしや　ふじもうで,3夏,八番日記
7854,背戸(の)不二青田の風の吹過る,せどのふじ　あおたのかぜの　ふきすぎる,3夏,文化句帖
7855,涼風もけふ一日の御不二哉,すずかぜも　きょうついたちの　おふじかな,3夏,文化句帖
7856,涼風はどこの余りかせどの不二,すずかぜは　どこのあまりか　せどのふじ,3夏,文化五六句記
7857,蟷螂が不二の麓にかゝる哉,とうろうが　ふじのふもとに　かかるかな,3夏,文化五六句記
7858,不二の草さして涼しくなかりけり,ふじのくさ　さしてすずしく　なかりけり,3夏,文化五六句記
7859,またぐ程の不二へも行かぬことし哉,またぐほどの　ふじへもゆかぬ　ことしかな,3夏,文化五六句記
7860,涼しさや五尺程でもお富士山,すずしさや　ごしゃくほどでも　おふじさん,3夏,七番日記
7861,涼しさは五尺程でもお富士也,すずしさは　ごしゃくほどでも　おふじなり,3夏,句稿消息
7862,涼しさは五尺そこらもお富士哉,すずしさは　ごしゃくそこらも　おふじかな,3夏,句稿消息
7863,富士の気で鷺は歩くや大またに,ふじのきで　さぎはあるくや　おおまたに,3夏,句稿消息
7864,富士の気で跨げば草も涼しいぞ,ふじのきで　またげばくさも　すずしいぞ,3夏,七番日記
7865,明ぬ間に不二十ばかり上りけり,あけぬまに　ふじじゅうばかり　のぼりけり,3夏,八番日記
7866,三尺の不二浅間菩薩かな,さんじゃくの　ふじせんげん　ぼさつかな,3夏,八番日記
7867,涼しさや一またぎでも不二の山,すずしさや　ひとまたぎでも　ふじのやま,3夏,梅塵八番
7868,踏んまたぐ程でも江戸の不二の山,ふんまたぐ　ほどでもえどの　ふじのやま,3夏,文政句帳
7869,涼しさや一人又来ても不二の山,すずしさや　ひとりまたきても　ふじのやま,3夏,八番日記
7870,涼しさやまたぐ程でも不二の山,すずしさや　またぐほどでも　ふじのやま,3夏,書簡
7871,蝸牛とも～”不二へ上る也,かたつむり　ともどもふじへ　のぼるなり,3夏,文政句帖
7872,蝸牛気永に不士へ上る也,かたつむり　きながにふじへ　のぼるなり,3夏,文政句帖
7873,蝸牛そろ ～ 登れ富士の山,かたつむり　そろそろのぼれ　ふじのやま,3夏,文政版
7874,浅草や朝飯前の不二詣,あさくさや　あさめしまえの　ふじもうで,3夏,文政句帖
7875,浅草や犬も供して不二詣,あさくさや　いぬもともして　ふじもうで,3夏,文政句帖
7876,鳥どもゝ御祓にあへり角田川,とりどもも　みそぎにあえり　すみだがわ,3夏,享和句帖
7877,うれしさや御祓の宵の天の川,うれしさや　みそぎのよいの　あまのがわ,3夏,文化句帖
7878,角田川も(つ)と古かれ夕はらひ,すみだがわ　もっとふるかれ　ゆうはらい,3夏,文化句帖
7879,夕はらひ竹をぬらして済す也,ゆうはらい　たけをぬらして　すますなり,3夏,文化句帖
7880,あらにこにあひ奉る鴎哉,あらにこに　あいたてまつる　かもめかな,3夏,文化句帖
7881,旅烏江戸の御祓にとしよりぬ,たびがらす　えどのみそぎに　としよりぬ,3夏,七番日記
7882,旅烏江戸の御祓にいく度逢ふ,たびがらす　えどのみそぎに　いくどあう,3夏,七番日記
7883,蟾親子づれして夕祓,ひきがえる　おやこづれして　ゆうはらい,3夏,七番日記
7884,夕祓鴫十ばかり立にけり,ゆうはらい　しぎじゅうばかり　たちにけり,3夏,七番日記
7885,灯籠のやうな花さく御祓哉,とうろうの　やうなはなさく　みぞぎかな,3夏,七番日記
7886,都鳥古く仕へよ川やしろ,みやこどり　ふるくつかへよ　かわやしろ,3夏,七番日記
7887,宿かりに鴎も来るか川やしろ,やどかりに　かもめもくるか　かわやしろ,3夏,七番日記
7888,夕さればぺん～草も御祓哉,ゆうされば　ぺんぺんぐさも　みそぎかな,3夏,七番日記
7889,蛙等も何かぶつくさ夕はらひ,かえるらも　なにかぶつくさ　ゆうはらい,3夏,七番日記
7890,十ばかり蛙も並ぶ御祓哉,とうばかり　かえるもならぶ　みそぎかな,3夏,七番日記
7891,むら雨は入日を洗ふ夏はらひ,むらさめは　いりひをあらう　なつはらい,3夏,七番日記
7892,とも～゛に犬もはらばふ夕はらひ,ともどもに　いぬもはらばう　ゆうはらい,3夏,七番日記
7893,萩もはや色なる波ぞ夕祓,はぎもはや　いろなるなみぞ　ゆうはらい,3夏,七番日記
7894,萩もはや色なる浪や夕祓,はぎもはや　いろなるなみや　ゆうはらい,3夏,文政版
7895,下り川我我も(御祓)連にせよ,くだりがわ　われわれもみそぎ　つれにせよ,3夏,八番日記
7896,ちとの間の名所也けり夕祓,ちとのまの　めいしょなりけり　ゆうはらい,3夏,八番日記
7897,ちとの間の名所也けり夕御祓,ちとのまの　めいしょなりけり　ゆうみそぎ,3夏,梅塵八番
7898,蟾どのゝ這出給ふ御祓哉,ひきどのの　はいだしたまう　みそぎかな,3夏,八番日記
7899,蟾どもゝ這出給ふ御祓哉,ひきどもも　はいだしたまう　みそぎかな,3夏,発句鈔追加
7900,水さく～雨拵て御祓哉,みずさくさく　あめこしらえて　みそぎかな,3夏,八番日記
7901,昔からこんな風かよ夕はらひ,むかしから　こんなかぜかよ　ゆうはらい,3夏,八番日記
7902,口が(る)な蛙也けり夕はゝひ,くちがるな　かえるなりけり　ゆうはらい,3夏,八番日記
7903,子を連て猫もそろ～御祓哉,こをつれて　ねこもそろそろ　みそぎかな　,3夏,八番日記
7904,笹舟を流して遊ぶ御祓哉,ささぶねを　ながしてあそぶ　みそぎかな,3夏,梅塵八番
7905,早束に虫も鈴ふる御祓哉,さっそくに　むしもすずふる　みぞぎかな,3夏,八番日記
7906,早速に虫も鈴ふる御祓哉,さっそくに　むしもすずふる　みぞぎかな,3夏,梅塵八番
7907,早束に寒くなるほど御祓哉,さっそくに　さむくなるほど　みぞぎかな,3夏,発句鈔追加
7908,しかつべに蛙も並んで夕はらい,しかつべに　かえるもならんで　ゆうはらい,3夏,梅塵八番
7909,正直に風そよぐ也御祓川,しょうじきに　かぜそよぐなり　みそぎがわ,3夏,八番日記
7910,水引を草もむすんで夕はらひ,みずひきを　くさもむすんで　ゆうはらい,3夏,八番日記
7911,痩蚤を振ふや猫も夕祓,やせのみを　ふるふやねこも　ゆうはらい,3夏,八番日記
7912,木も草(も)涼し〓ニ御祓哉,きもくさも　すずし□に　みそぎかな,3夏,文政八草稿
7913,乙鳥まちを祈るや川社,つばくらめ　まちをいのるや　かわやしろ,3夏,文政句帖
7914,御祓して軽く覚へるからだ哉,みぞぎして　かるくおぼへる　からだかな,3夏,文政句帖
7915,慾面の寒くなる迄夕はらひ,よくづらの　さむくなるまで　ゆうはらい,3夏,文政句帖
7916,慾面の寒くなるほど夕はらひ,よくづらの　さむくなるほど　ゆうはらい,3夏,発句鈔追加
7917,鶯に水を浴せて御祓哉,うぐいすに　みずをあびせて　みそぎかな,3夏,発句集続篇
7918,大川へはら～蚤を御祓哉,おおかわへ　はらはらのみを　みそぎかな,3夏,希杖本
7919,玉川の萩もちら～夕祓,たまがわの　はぎもちらちら　ゆうはらい,3夏,発句鈔追加
7920,水上の妹やみそぎの信濃川,みなかみの　いもやみそぎの　しなのがわ,3夏,発句鈔追加
7921,茅の(輪)や始三度は母の分,ちのわや　はじめさんどは　ははのぶん,3夏,七番日記
7922,一番に乙鳥のくゞるちのわ哉,いちばんに　つばめのくぐる　ちのわかな,3夏,七番日記
7923,一番につばめの抜けるちのわ哉,いちばんに　つばめのぬける　ちのわかな,3夏,発句鈔追加
7924,茅の輪から丸に見ゆる淡ぢ島,ちのわから　まるにみゆる　あわじしま,3夏,七番日記
7925,母の分ンも一ツ潜るちのわ哉,ははのぶんも　ひとつくぐる　ちのわかな,3夏,八番日記
7926,母の分始に潜るちのわ哉,ははのぶん　はじめにくぐる　ちのわかな,3夏,八番日記他
7927,母のぶんは始にくゞるちのわ哉,ははのぶんは　はじめにくぐる　ちのわかな,3夏,発句集続篇
7928,母の分も一ツは潜るちのわ哉,ははのぶんも　ひとつはくぐる　ちのわかな,3夏,梅塵八番
7929,江戸の子(の)分迄のけるちのは哉,えどのこの　ぶんまでのける　ちのわかな,3夏,八番日記
7930,髪のない頭も撫る茅の輪哉,かみのない　あたまもなでる　ちのわかな,3夏,梅塵八番
7931,茅の輪哉手引て潜る子があらば,ちのわかな　てひきてくぐる　こがあらば,3夏,八番日記
7932,蝶～の夫婦連してちの輪哉,ちょうちょうの　めおとづれして　ちのわかな,3夏,梅塵八番
7933,乙鳥も親子揃ふてちのわ哉,つばくらも　おやこそろうて　ちのわかな,3夏,八番日記
7934,御袋は猫をも連てちのわ哉,おふくろは　ねこをもつれて　ちのわかな,3夏,文政句帖
7935,捨た身を十程くゞるちのわ哉,すてたみを　じゅうほどくぐる　ちのわかな,3夏,文政句帖
7936,御鴉も鶯も潜る茅(の)輪哉,おからすも　うぐいすもくぐる　ちのわかな,3夏,発句鈔追加
7937,形代の後れ先立角田川,かたしろの　おくれさきだつ　すみだがわ,3夏,七番日記
7938,形代のひいき～゛や角田川,かたしろの　ひいきびいきや　すみだがわ,3夏,七番日記
7939,形代やとても流れば西の方,かたしろや　とてもながれば　にしのほう,3夏,七番日記
7940,かたしろや水になる身もいそがしき,かたしろや　みずになるみも　いそがしき,3夏,七番日記
7941,夕あらし我形代を頼むぞよ,ゆうあらし　わがかたしろを　たのむぞよ,3夏,七番日記
7942,形代の末の五月五日哉,かたしろの　おわりのごがつ　いつかかな,3夏,七番日記
7943,かたしろ(の)宿り定ば夢に来よ,かたしろの　やどりきまらば　ゆめにきよ,3夏,七番日記
7944,行水よ皺かたしろも連にせよ,ゆくみずよ　しわかたしろも　つれにせよ,3夏,七番日記
7945,やあそこの形代ふむな都鳥,やあそこの　かたしろふむな　みやこどり,3夏,七番日記
7946,形代に虱おぶせて流しけり,かたしろに　しらみおぶせて　ながしけり,3夏,七番日記
7947,形代に虱うつして流しけり,かたしろに　しらみうつして　ながしけり,3夏,あしのひともと
7948,形代に虱おぶせてやりにけり,かたしろに　しらみおぶせて　やりにけり,3夏,七番日記
7949,形代におぶせて流す虱哉,かたしろに　おぶせてながす　しらみかな,3夏,文政句帖
7950,疫病神蚤も屓せて流しけり,えきびょうがみ　のみもおわせて　ながしけり,3夏,おらが春
7951,形代をとく吹ふるせ萩芒,かたしろを　とくふきふるせ　はぎすすき,3夏,発句題叢他
7952,形代をとく吹なくせ萩芒,かたしろを　とくふきなくせ　はぎすすき,3夏,発句題叢
7953,形代も肩身すぼめて流れけり,かたしろも　かたみすぼめて　ながれけり,3夏,八番日記
7954,形代も吹ばとぶ也軽い身は,かたしろも　ふけばとぶなり　かるいみは,3夏,八番日記
7955,形代や乗て流て笹葉舟,かたしろや　のせてながれて　ささはふね,3夏,八番日記
7956,形代に乗て流れし笹葉舟,かたしろに　のせてながれし　ささはふね,3夏,梅塵八番
7957,吹ば飛身の形代も吹ばとぶ,ふけばとぶ　みのかたしろも　ふけばとぶ,3夏,八番日記
7958,吹ば飛身の形代や吹ばとぶ,ふけばとぶ　みのかたしろや　ふけばとぶ,3夏,梅塵八番
7959,形代に赤けべゝきせる娘哉,かたしろに　あかけべべきせる　むすめかな,3夏,文政句帖
7960,形代に赤へべゝ着せる娘哉,かたしろに　あかへべべきせる　むすめかな,3夏,発句鈔追加
7961,形代にさらば～をする子哉,かたしろに　さらばさらばを　するこかな,3夏,文政句帖
7962,狙引ハ猿の形代流す也,さるひきは　さるのかたしろ　ながすなり,3夏,文政八草稿
7963,麻の葉に借銭書て流しけり,あさのはに　しゃくせんかいて　ながしけり,3夏,七番日記
7964,ぎをん会やせんぎまち～ひく山ぞ,ぎおんえや　せんぎまちまち　ひくやまぞ　,3夏,七番日記
7965,月鉾にもつと聳よ朝けぶり,つきほこに　もっとそびえよ　あさけぶり,3夏,七番日記
7966,ほこの児太鼓に酔もせざりけり,ほこのちご　たいこによいも　せざりけり,3夏,七番日記
7967,ほこの児群集に酔もせざりけり,ほこのちご　ぐんしゅうによいも　せざりけり,3夏,句稿消息
7968,軒の菖蒲しなびぬうちに寝たりけり,のきのしょうぶ　しなびぬうちに　ねたりけり,3夏,文化句帖
7969,あやめ葺ておの～昔びいき哉,あやめふいて　おのおのむかし　びいきかな,3夏,文化句帖
7970,菖蒲ふけ浅間の烟しづか也,しょうぶふけ　あさまのけぶり　しずかなり,3夏,文化五六句記
7971,旅せよと親はかざらじ太刀兜,たびせよと　おやはかざらじ　たちかぶと,3夏,文化五六句記
7972,乙鳥もさうぶゝく日に逢りけり,つばくらも　しょうぶふくひに　あえりけり,3夏,文化五六句記
7973,夕月のさら～雨やあやめふく,ゆうげつの　さらさらあめや　あやめふく,3夏,文化五六句記
7974,菖草巣に引たがる雀哉,あやめぐさ　すにひきたがる　すずめかな,3夏,七番日記
7975,さうぶさす貧者がけぶり目出度さよ,しょうぶさす　ひんじゃがけぶり　めでたさよ,3夏,七番日記
7976,今葺たあやめにちよいと乙鳥哉,いまふいた　あやめにちよいと　つばめかな,3夏,七番日記
7977,入口やあやめ葺せて来る燕,いりぐちや　あやめふかせて　くるつばめ,3夏,七番日記
7978,馬の子がなめたがる也さしせうぶ,うまのこが　なめたがるなり　さししょうぶ,3夏,七番日記
7979,馬の子がなめたがる也葺あやめ,うまのこが　なめたがるなり　ふきあやめ,3夏,真蹟
7980,かくれ家やそこらむしつてふくせうぶ,かくれがや　そこらむしって　ふくしょうぶ,3夏,七番日記
7981,かくれ家やそこらむしつて葺あやめ,かくれがや　そこらむしって　ふきあやめ,3夏,発句集続篇
7982,草の戸の菖蒲や猫の手もとゞく,くさのとの　しょうぶやねこの　てもとどく,3夏,随斎筆紀
7983,それでこそ古き夕べぞ葺菖蒲,それでこそ　ふるきゆうべぞ　ふきしょうぶ,3夏,希杖本
7984,鳴さうな虫のあれ～葺あやめ,なきさうな　むしのあれあれ　ふきあやめ,3夏,希杖本
7985,鳴さうな虫があれ ～葺あやめ,なきさうな　むしがあれあれ　ふきあやめ,3夏,希杖本
7986,草の戸や貧乏樽のせうぶ酒,くさのとや　びんぼうだるの　しょうぶざけ,3夏,七番日記
7987,賑しや貧乏樽もせうぶ酒,にぎわしや　びんぼうだるも　しょうぶざけ,3夏,七番日記
7988,賑しや貧乏樽のせうぶ酒,にぎわしや　びんぼうだるの　しょうぶざけ,3夏,真蹟
7989,相伴に蚊もさわぐ也せうぶ酒,しょうばんに　かもさわぐなり　しょうぶざけ,3夏,八番日記
7990,相伴に蚊も騒ぎけりせうぶ酒,しょうばんに　かもさわぎけり　しょうぶざけ,3夏,梅塵八番
7991,わか様がせうぶをしやぶる湯どの哉,わかさまが　しょうぶをしゃぶる　ゆどのかな,3夏,七番日記
7992,せうぶ湯も小さ盥ですましけり,しょうぶゆも　ちいさだらいで　すましけり,3夏,七番日記
7993,八文でせうぶ湯に迄済しけり,はちもんで　しょうぶゆにまで　すましけり,3夏,七番日記
7994,八文で菖蒲湯までも済しけり,はちもんで　しょうぶゆまでも　すましけり,3夏,発句集続篇
7995,湯上りの尻にべつたりせうぶ哉,ゆあがりの　しりにべったり　しょうぶかな,3夏,七番日記
7996,桃の湯や少は陰る片屋敷,もものゆや　すこしはくもる　かたやしき,3夏,七番日記
7997,山颪家～の幟に起る也,やまおろし　かかののぼりに　おこるなり,3夏,寛政句帖
7998,君が代は乞食の家ものぼり哉,きみがよは　こじきのいえも　のぼりかな,3夏,西紀書込
7999,朝雨の目出度かゝるのぼり哉,あさあめの　めでたくかかる　のぼりかな,3夏,享和句帖
8000,うら店や青葉一鉢紙のぼり,うらだなや　あおばひとはち　かみのぼり,3夏,享和句帖
8001,穢太町に見おとされたる幟哉,えたまちに　みおとされたる　のぼりかな,3夏,享和句帖
8002,洛陽の入口らしきのぼり哉,らくようの　いりぐちらしき　のぼりかな,3夏,享和句帖
8003,我門を山から見たる幟哉,わがかどを　やまからみたる　のぼりかな,3夏,文化五六句記
8004,我門を山へ出て見る幟哉,わがかどを　やまへでてみる　のぼりかな,3夏,八番日記
8005,藪村や藪の長者の幟哉,やぶむらや　やぶのちょうじゃの　のぼりかな,3夏,七番日記
8006,門の木にくゝし付たる幟哉,かどのきに　くくしつけたる　のぼりかな,3夏,七番日記
8007,木もありて少々かすむ幟かな,きもありて　しょうしょうかすむ　のぼりかな,3夏,七番日記
8008,乙鳥のちよいと引つく幟哉,つばくらの　ちょいとひっつく　のぼりかな,3夏,七番日記
8009,むら竹もともいさみする幟哉,むらたけも　ともいさみする　のぼりかな,3夏,七番日記
8010,闇紛れそつと見に来る幟哉,やみまぎれ　そっとみにくる　のぼりかな,3夏,七番日記
8011,江戸住や二階の窓の初のぼり,えどずみや　にかいのまどの　はつのぼり,3夏,八番日記
8012,乞食町とは見へざりし幟哉,こじきまち　とはみえざりし　のぼりかな,3夏,八番日記
8013,小のぼりの愛相に咲つゝじ哉,このぼりの　あいそうにさく　つつじかな,3夏,八番日記
8014,小のぼりの足らぬ所へつゝじ哉,このぼりの　たらぬところへ　つつじかな,3夏,文政句帖
8015,小幟のこつそり暮る座敷哉,このぼりの　こっそりくるる　ざしきかな,3夏,八番日記
8016,三尺にたらぬ幟も御客かな,さんじゃくに　たらぬのぼりも　おきゃくかな,3夏,八番日記
8017,志賀の都は荒(に)しを幟哉,しがのとは　あれにしを　のぼりかな,3夏,八番日記
8018,染幟よこから見ても都也,そめのぼり　よこからみても　みやこなり,3夏,八番日記
8019,染幟よこから見ても湊なり,そめのぼり　よこからみても　みなとなり,3夏,八番日記
8020,染幟よこから見ても湊かな,そめのぼり　よこからみても　みなとかな,3夏,梅塵八番
8021,とつゝきに金太郎するや幟客,とっつきに　きんたろうするや　のぼりきゃく,3夏,八番日記
8022,とつときに金太郎するや幟客,とっときに　きんたろうするや　のぼりきゃく,3夏,梅塵八番
8023,幟から引つゞく也田のそよぎ,のぼりから　ひきつづくなり　たのそよぎ,3夏,八番日記
8024,初幟田も引立ぬ引立ぬ,はつのぼり　たもひきたちぬ　ひきたちぬ,3夏,八番日記
8025,一際に田も引立ぬはつ幟,ひときわに　たもひきたちぬ　はつのぼり,3夏,八番日記
8026,山風のがつくりおちや門幟,やまかぜの　がっくりおちや　かどのぼり,3夏,八番日記
8027,目出度さはつぎだらけなる幟哉,めでたさは　つぎだらけなる　のぼりかな,3夏,文政句帖
8028,藪むらは爰にと立る幟かな,やぶむらは　ここにとたてる　のぼりかな,3夏,文政句帖
8029,浅ぢふに又そよぐ也ちまき殻,あさじゅうに　またそよぐなり　ちまきがら,3夏,七番日記
8030,がさ～と粽をかぢる美人哉,がさがさと　ちまきをかじる　びじんかな,3夏,七番日記
8031,粽とく二階も見ゆる角田川,ちまきとく　にかいもみゆる　すみだがわ,3夏,七番日記
8032,久松が親に負せんちまき哉,ひさまつが　おやにおわせん　ちまきかな,3夏,七番日記
8033,みちのくは荵にてせよ其粽,みちのくは　しのぶにてせよ　そのちまき,3夏,七番日記
8034,みちのくの荵をきせよ其粽,みちのくの　しのぶをきせよ　そのちまき,3夏,句稿消息
8035,神棚のつゝじとそよぐ粽哉,かみだなの　つつじとそよぐ　ちまきかな,3夏,七番日記
8036,十ばかり笹にならせる粽哉,とうばかり　ささにならせる　ちまきかな,3夏,七番日記
8037,御地蔵のお首にかけるちまき哉,おじぞうの　おくびにかける　ちまきかな,3夏,梅塵八番
8038,御地蔵のお首にかける飾り哉,おじぞうの　おくびにかける　かざりかな,3夏,八番日記
8039,御袋が手本に投るちまき哉,おふくろが　てほんにほうる　ちまきかな,3夏,八番日記
8040,折釘に掛た所が粽哉,おれくぎに　かけたところが　ちまきかな,3夏,八番日記
8041,笹粽手本通りに出来ぬ也,ささちまき　てほんどおりに　できぬなり,3夏,八番日記
8042,粽ゆふた顔も披露や入り座敷,ちまきゆうた　かおもひろうや　いりざしき,3夏,八番日記
8043,私が引むすんでも粽哉,わたくしが　ひきむすんでも　ちまきかな,3夏,八番日記
8044,私がおつゝくねても粽哉,わたくしが　おっつくねても　ちまきかな,3夏,梅塵八番
8045,みちのくの荵をきせよ粽哉,みちのくの　しのぶをきせよ　ちまきかな,3夏,真蹟
8046,それがしがおつゝくねても粽哉,それがしが　おっつくねても　ちまきかな,3夏,真蹟
8047,草花にくゝり添たる粽かな,くさばなに　くくりそえたる　ちまきかな,3夏,八番日記
8048,草花にくゝり付たる粽かな,くさばなに　くくりつけたる　ちまきかな,3夏,発句集続篇
